valtuutettu	puolue	profiili
Ted Apter	kok	https://www.instagram.com/tedapter/
Sirpa Asko-Seljavaara	kok	https://www.instagram.com/askoseljavaara/
Harry Bogomoloff	kok	
Juha Hakola	kok	https://www.instagram.com/juha_hakola/
Atte Kaleva	kok	https://www.instagram.com/attekaleva/
Arja Karhuvaara	kok	https://www.instagram.com/arjakarhuvaara/
Kauko Koskinen	kok	
Terhi Koulumies	kok	https://www.instagram.com/koulumies/
Heimo Laaksonen	kok	
Otto Meri	kok	https://www.instagram.com/ottomeri/
Seija Muurinen	kok	
Dani Niskanen	kok	https://www.instagram.com/findani/
Mia Nygård	kok	https://www.instagram.com/miangrd/
Jenni Pajunen	kok	https://www.instagram.com/jeepajunen/
Pia Pakarinen	kok	https://www.instagram.com/piapakarinen/
Matti Parpala	kok	https://www.instagram.com/mattiparpala/
Jaana Pelkonen	kok	https://www.instagram.com/jaanapelkonen/
Risto Rautava	kok	
Wille Rydman	kok	https://www.instagram.com/wille.rydman/
Daniel Sazonov	kok	https://www.instagram.com/dansazo/
Mirita Saxberg	kok	https://www.instagram.com/miritasaxberg/
Ulla Marja Urho	kok	
Jan Vapaavuori	kok	https://www.instagram.com/janvapaavuori/
Juhana Vartiainen	kok	
Alviina Alametsä	vihr	https://www.instagram.com/alviinaalametsa/
Jussi Chydenius	vihr	
Fatim Diarra	vihr	https://www.instagram.com/fatimwdiarra/
Jasmin Hamid	vihr	https://www.instagram.com/hamidjasmin/
Atte Harjanne	vihr	https://www.instagram.com/attehoo/
Kaisa Hernberg	vihr	https://www.instagram.com/kaisamirjam/
Mari Holopainen	vihr	https://www.instagram.com/mariholopainen/
Kati Juva	vihr	
Emma Kari	vihr	https://www.instagram.com/emmakkari/
Otso Kivekäs	vihr	https://www.instagram.com/okivekas/
Maria Ohisalo	vihr	https://www.instagram.com/mariaohisalo/
Hannu Oskala	vihr	https://www.instagram.com/oskalahannu/
Tuomas Rantanen	vihr	https://www.instagram.com/tuomas.rantanen/
Satu Silvo	vihr	https://www.instagram.com/satusilvo/
Anni Sinnemäki	vihr	https://www.instagram.com/annisinnemaki/
Osmo Soinin­vaara	vihr	
Leo Stranius	vihr	https://www.instagram.com/leostranius/
Johanna Sydänmaa	vihr	https://www.instagram.com/johannasydanmaa/
Reetta Vanhanen	vihr	https://www.instagram.com/reettavanhanen/
Sanna Vesikansa	vihr	https://www.instagram.com/sanna_vesikansa/
Ozan Yanar	vihr	https://www.instagram.com/yanarozan/
Pentti Arajärvi	sdp	
Tuula Haatainen	sdp	https://www.instagram.com/haatainent/
Eveliina Heinäluoma	sdp	https://www.instagram.com/eveheinaluoma/
Ville Jalovaara	sdp	https://www.instagram.com/villejalovaara/
Jukka Järvinen	sdp	https://www.instagram.com/jukkajarvinen/
Johanna Laisaari	sdp	https://www.instagram.com/johannalaisaari/
Abdirahim (Husu) Hussein	sdp	https://www.instagram.com/husuhussein/
Nasima Razmyar	sdp	https://www.instagram.com/nasimarazmyar/
Ilkka Taipale	sdp	
Pilvi Torsti	sdp	https://www.instagram.com/pilvitorsti/
Sinikka Vepsä	sdp	https://www.instagram.com/sinikkavepsa/
Thomas Wallgren	sdp	
Paavo Arhinmäki	vas	https://www.instagram.com/paavoarhinmaki/
Mia Haglund	vas	https://www.instagram.com/miahaglund/
Veronika Honkasalo	vas	https://www.instagram.com/veronikahonkasalo/
Mai Kivelä	vas	https://www.instagram.com/maikivela/
Dan Koivulaakso	vas	https://www.instagram.com/koivulaakso/
Vesa Korkkula	vas	https://www.instagram.com/vesakorkkula/
Petra Malin	vas	https://www.instagram.com/petra.malin/
Sami (Frank) Muttilainen	vas	https://www.instagram.com/frank_fernet/
Suldaan Said Ahmed	vas	https://www.instagram.com/suldaansaid/
Anna Vuorjoki	vas	
Eva Biaudet	rkp	https://www.instagram.com/evabiaudet/
Laura Finne-Elonen	rkp	
Björn Månsson	rkp	
Marcus Rantala	rkp	https://www.instagram.com/marcusrantala/
Silja Borgars­dóttir Sandelin	rkp	https://www.instagram.com/photosilja/
Jussi Halla-aho	ps	https://www.instagram.com/jubahoo/
Pia Kopra	ps	https://www.instagram.com/piakopra/
Mika Raatikainen	ps	
Mari Rantanen	ps	https://www.instagram.com/maripsrantanen/
Laura Kolbe	kesk	https://www.instagram.com/laurakkolbe/
Terhi Peltokorpi	kesk	https://www.instagram.com/peltokorpiterhi/
Sampo Terho	sin	
Jussi Niinistö	sin	https://www.instagram.com/jniinisto/
Joel Harkimo	liik	https://www.instagram.com/joelharkimo/
Mika Ebeling	kd	
Katju Aro	fp	https://www.instagram.com/katjusofia/
Petrus Pennanen	ap	https://www.instagram.com/petruspennanen/
Paavo Väyrynen	th	https://www.instagram.com/paavovayrynen/